"ID","unit","unit.extended","square","sub.square","raw.material","raw.material.extended","termal.alteration","class","blank","technology","technology.extended","cortex","cortex.y.n","cortex.position","preservation","preservation.extended","length","width","thickness","elongation","robustness","platform.width","platform.thickness","platformW.T.","platform.type","platform.shape","platform.angle","dorsal.thinning","bulb","bulb.type","bulbar.scar","lip","lip.type","curvature","torsion","cross.section","cross.section.symmetry","scar.count","axiality","scar.pattern","distal.end","distal.end.profile","blank.shape","bladelet.neg.blade","blade.neg.flake","typology","typology.reduced","retouch.position","dorsal.retouch.localization","ventral.retouch.localization","retouch.length"
"RF.b_15","A1","A1tetto","62","b","Maiolica","B1",FALSE,"Tool","Blade","Semi-cortical","Semi-cortical","33-66%","yes","Left lateral complete","Complete","Complete",72.6999969482422,21.7999992370605,7.59999990463257,3.33486236204314,2.86842098823874,3.59999990463257,0.800000011920929,4.49999981373549,"Linear","Linear","75","No",FALSE,NA,FALSE,TRUE,"Pronounced","Straight","0","Lateral steep",FALSE,1,"Axial","Unidirectional parallel","Convex","Feathered","Sub-parallel",TRUE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous right",NA,3.20000004768372
"RF.b_17","A2","A2tetto","78","c","Other","Eoc2",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Mesial","Mesial",22.7999992370605,21.3999996185303,5,1.06542054408814,4.27999992370606,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","0","Triangular",TRUE,1,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Mesial left",NA,3.09999990463257
"RF.b_25","A2","A2","55","b","Scaglia.Variegata","SV3",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Almost-complete",50,19.7999992370605,5.5,2.52525262255631,3.59999986128373,3,2,1.5,"Plain","Oval","60","Abrasion",FALSE,NA,TRUE,TRUE,"Pronounced","Curved slightly","0","Trapezoidal",FALSE,2,"Axial","Unidirectional parallel","Irregular","Undetermined",NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous right",NA,7
"RF.b_31","A2","A2","65","g","Scaglia.Variegata","SV3",FALSE,"Blank","Blade","Maintenance","Maintenance","0%","no",NA,"Complete","Complete",38.2000007629395,15.8000001907349,3.79999995231628,2.41772153808833,4.15789483921021,5.09999990463257,0.200000002980232,25.4999991431833,"Linear","Linear","75","Hinged scars",FALSE,NA,FALSE,TRUE,"Moderate","Curved","0","Trapezoidal",TRUE,2,"Off-axis right","Unidirectional convergent","Straight","Plunging","Sub-parallel",TRUE,FALSE,NA,NA,NA,NA,NA,NA
"RF.b_33","A1","A1","70","a","Maiolica",NA,FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Mesial","Mesial",34,20.7999992370605,9.39999961853027,1.63461544457273,2.21276596608125,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","0","Polyhedral",TRUE,3,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade Aurignacian","Other","Direct","Continuous left",NA,8.89999961853027
"RF.b_35","A2","A2","62","d","Maiolica",NA,FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Mesial","Mesial",21.3999996185303,13.1000003814697,3.5,1.63358770956993,3.74285725184849,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","0","Trapezoidal",TRUE,2,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous left",NA,NA
"RF.b_36","A1","A1","pre.80",NA,"Maiolica","B1",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Mesio-proximal",26.2000007629395,16.2000007629395,4.30000019073486,1.61728392154628,3.7674418707807,6.19999980926514,2.90000009536743,2.13793089840557,"Plain","Oval","80","Hinged scars",FALSE,NA,TRUE,TRUE,"Moderate","Straight","0","Triangular",TRUE,1,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous bilateral",NA,3.59999990463257
"RF.b_37","A2","A2","41",NA,"Maiolica",NA,FALSE,"Tool","Blade","Semi-cortical","Semi-cortical","1-33%","yes","Left lateral complete","Distal","Mesio-distal",58.9000015258789,18.7000007629395,7.09999990463257,3.14973257341302,2.633802959735,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Curved","0","Lateral steep",FALSE,1,"Axial","Unidirectional parallel","Undetermined","Undetermined",NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Distal left;Mesial right",NA,5
"RF.b_38","A1","A1","68",NA,"Other","Oolitica",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Mesio-proximal",34,24.7999992370605,5.80000019073486,1.37096778411151,4.27586179681114,17.1000003814697,6.69999980926514,2.55223893556278,"Faceted","Oval","75","Abrasion",TRUE,"Pronounced",FALSE,FALSE,NA,"Curved slightly","0","Polyhedral",TRUE,3,NA,"Unidirectional parallel",NA,NA,NA,TRUE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous bilateral",NA,4.30000019073486
"RF.b_40","A1","A1","40",NA,"Maiolica","B2-4",FALSE,"Tool","Blade","Semi-cortical","Semi-cortical","33-66%","yes","Left lateral complete","Complete","Complete",42.4000015258789,15.1999998092651,4.80000019073486,2.78947381960059,3.16666650109821,6.69999980926514,1.20000004768372,5.58333295252588,"Cortical","Winged","90","No",TRUE,"Pronounced",FALSE,TRUE,"Moderate","Straight","1L","Lateral steep",FALSE,1,"Off-axis left","Unidirectional convergent","Pointed","Pointed","Convergent",FALSE,FALSE,"Blade pointed","Other","Direct","Apex;Distal right",NA,0.699999988079071
"RF.b_41","A2","A2","81",NA,"Maiolica","B2-4",FALSE,"Tool","Blade","Semi-cortical","Semi-cortical","1-33%","yes","Distal;Right lateral complete","Proximal","Mesio-proximal",41.2000007629395,20.6000003814697,5.90000009536743,2,3.49152543194778,3.29999995231628,1.20000004768372,2.74999985098838,"Plain","Oval","75","Hinged scars",FALSE,NA,FALSE,TRUE,"Moderate","Curved slightly","0","Trapezoidal",FALSE,2,"Axial","Unidirectional parallel",NA,NA,NA,TRUE,FALSE,"Blade with lateral retouch","Other","Direct","Distal left;Mesial left",NA,1.70000004768372
"RF.b_42","A1","A1","61",NA,"Other","Oolitica",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Mesial","Mesial",29.6000003814697,18.2000007629395,5.90000009536743,1.62637357915632,3.0847458421619,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","0","Triangular",TRUE,1,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous bilateral",NA,4.09999990463257
"RF.b_44","A1","A1","62",NA,"Maiolica","B2-4",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Mesio-proximal",32.9000015258789,19,5.30000019073486,1.73157902767784,3.58490553136482,5.19999980926514,0.899999976158142,5.777777718909,"Linear","Linear","80","Abrasion;Hinged scars",FALSE,NA,TRUE,TRUE,"Pronounced","Straight","0","Trapezoidal",FALSE,2,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous right",NA,3.5
"RF.b_45","A1","A1tetto","55",NA,"Maiolica","B2-4",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Mesio-proximal",37.2999992370605,15.3000001907349,3.20000004768372,2.43790841647492,4.78124998835847,0.600000023841858,0.200000002980232,3.00000007450581,"Punctiform","Punctiform","75",NA,FALSE,NA,FALSE,TRUE,"Moderate","Straight","2R","Trapezoidal",FALSE,2,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Mesial left",NA,NA
"RF.b_48","A2","A2tetto","77",NA,"Maiolica",NA,FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Mesial","Mesial",17.7999992370605,16.2000007629395,4.59999990463257,1.09876533325735,3.52173936930407,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","0","Trapezoidal",TRUE,2,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous left",NA,4
"RF.b_49","A1","A1","62",NA,"Maiolica","B1",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Proximal",14.5,13.5,3.09999990463257,1.07407407407407,4.35483884364832,5.19999980926514,1.5,3.46666653951009,"Plain","Oval","90","Abrasion",FALSE,NA,FALSE,TRUE,"Pronounced","Curved slightly","0","Triangular",TRUE,1,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous bilateral",NA,1.5
"RF.b_50","A2","A2","55",NA,"Undetermined","Grana fine",TRUE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Mesio-proximal",25,14.6000003814697,5,1.71232872238346,2.92000007629394,3,1.60000002384186,1.87499997206032,"Plain","Oval","80","Abrasion;Hinged scars",FALSE,NA,FALSE,TRUE,"Pronounced","Straight","0","Triangular",TRUE,1,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Alternate","Continuous right","Mesial left",NA
"RF.b_52","A1","A1","62",NA,"Maiolica",NA,FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Distal","Mesio-distal",31.5,17.7999992370605,5.80000019073486,1.7696629971992,3.06896528477618,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","0","Trapezoidal",TRUE,2,"Axial","Unidirectional convergent","Undetermined","Undetermined",NA,FALSE,FALSE,"Blade Aurignacian","Other","Direct","Continuous bilateral",NA,6.19999980926514
"RF.b_54","A2","A2","45",NA,"Undetermined",NA,TRUE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Mesial","Mesial",25.5,17.6000003814697,2.70000004768372,1.44886360496037,6.5185185446824,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","0","Undetermined",FALSE,2,NA,"Undetermined",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous left",NA,3.59999990463257
"RF.b_55","A2","A2","pre.80",NA,"Maiolica","B1",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Mesio-proximal",35.0999984741211,14.3999996185303,4.19999980926514,2.43749995860788,3.42857149344724,3.90000009536743,1,3.90000009536743,"Plain","Linear","80","Abrasion",FALSE,NA,TRUE,TRUE,"Pronounced","Straight","0","Triangular",TRUE,1,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous bilateral",NA,NA
"RF.b_56","A1","A1tetto","65",NA,"Maiolica",NA,FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Distal","Mesio-distal",29.1000003814697,13.8999996185303,3.29999995231628,2.0935252647544,4.21212115738785,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","0","Polyhedral",TRUE,3,"Axial","Unidirectional convergent","Pointed","Pointed",NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Apex;Continuous bilateral",NA,2.29999995231628
"RF.b_60","A2","A2","55",NA,"Undetermined","Grana fine",TRUE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Mesio-proximal",24.6000003814697,16,6.19999980926514,1.53750002384186,2.58064524068048,0.600000023841858,0.5,1.20000004768372,"Punctiform","Punctiform","75","Abrasion",TRUE,"Moderate",FALSE,TRUE,"Pronounced","Straight","0","Trapezoidal",TRUE,2,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous right",NA,NA
"RF.b_62","A2","A2","88",NA,"Maiolica",NA,FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Mesial","Mesial",14.1999998092651,24.3999996185303,6.40000009536743,0.581967214396228,3.81249988358468,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","0","Trapezoidal",TRUE,2,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous right",NA,3.59999990463257
"RF.b_63","A1","A1","60",NA,"Maiolica","B2-4",FALSE,"Tool","Blade","Semi-cortical","Semi-cortical","33-66%","yes","Right lateral complete","Proximal","Mesio-proximal",31.2000007629395,12.6000003814697,4.30000019073486,2.47619046177364,2.93023251687726,2.20000004768372,0.699999988079071,3.14285726449928,"Plain","Oval","75","Abrasion;Pointed scars",TRUE,"Moderate",FALSE,TRUE,"Moderate","Straight","2R","Lateral steep",FALSE,2,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Proximal",NA,NA
"RF.b_65","A1","A1","72",NA,"Maiolica",NA,FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Mesial","Mesial",26.5,18,3.79999995231628,1.47222222222222,4.7368421647027,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","0","Trapezoidal",TRUE,2,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous left",NA,5.09999990463257
"RF.b_66","A1","A1tetto","63",NA,"Scaglia.Variegata",NA,FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Mesial","Mesial",8.10000038146973,14.8000001907349,5.30000019073486,0.547297316018989,2.79245276568242,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","0","Trapezoidal",FALSE,2,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous left",NA,2.20000004768372
"RF.b_68","A2","A2","55",NA,"Undetermined","Grana fine",TRUE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Mesio-proximal",18.1000003814697,15.3000001907349,4.40000009536743,1.18300654613262,3.47727269525371,2,1.60000002384186,1.24999998137355,"Plain","Oval","75","Abrasion",TRUE,"Moderate",FALSE,TRUE,"Pronounced","Curved slightly","0","Triangular",TRUE,1,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous bilateral",NA,4.90000009536743
"RF.b_69","A1","A1","60",NA,"Maiolica",NA,FALSE,"Blank","Bladelet","Optimal","Optimal","0%","no",NA,"Mesial","Mesial",33.0999984741211,10.6999998092651,5.19999980926514,3.09345785646275,2.05769234648822,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Curved slightly","0","Triangular",TRUE,1,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,NA,NA,"Direct",NA,NA,NA
"RF.b_70","A2","A2","80",NA,"Scaglia.Variegata",NA,FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Mesial","Mesial",8.5,15.8999996185303,2.59999990463257,0.534591207794362,6.11538469297647,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","0","Trapezoidal",TRUE,2,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous right",NA,3
"RF.b_73","A1","A1","62",NA,"Maiolica",NA,FALSE,"Tool","Bladelet","Optimal","Optimal","0%","no",NA,"Mesial","Mesial",17.6000003814697,8,2.70000004768372,2.20000004768371,2.96296291063515,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","1L","Polyhedral",TRUE,3,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Bladelet retouched","Bladelet retouched","Direct","Continuous left",NA,NA
"RF.b_74","A1","A1","72",NA,"Scaglia.Rossa","SR",FALSE,"Blank","Blade","Optimal","Optimal","0%","no",NA,"Complete","Complete",46,15.3000001907349,5.09999990463257,3.00653591023194,3.00000009349749,3.79999995231628,1,3.79999995231628,"Plain","Linear","75","Abrasion",TRUE,"Moderate",FALSE,TRUE,"Pronounced","Straight","1R","Trapezoidal",FALSE,2,"Axial","Bidirectional","Pointed","Pointed","Irregular",TRUE,FALSE,NA,NA,NA,NA,NA,NA
"RF.b_75","A1","A1tetto","71",NA,"Scaglia.Rossa","SR",FALSE,"Tool","Blade","Maintenance","Maintenance","33-66%","yes","Distal;Right lateral complete","Complete","Complete",46.2000007629395,18,9,2.56666670905219,2,5.59999990463257,3.59999990463257,1.55555557027275,"Cortical","Irregular","80","No",TRUE,"Moderate",FALSE,TRUE,"Pronounced","Curved","0","Lateral steep",FALSE,1,"Off-axis left","Unidirectional parallel","Convex","Plunging","Sub-parallel",FALSE,FALSE,"Blade with lateral retouch","Other","Inverse",NA,"Continuous left",NA
"RF.b_76","A1","A1","pre.80",NA,"Maiolica","B2-4",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Proximal",26.5,24.6000003814697,7.30000019073486,1.07723575565314,3.36986297790676,NA,NA,NA,"Undetermined","Undetermined",NA,NA,FALSE,NA,FALSE,FALSE,NA,"Curved slightly","0","Lateral steep",FALSE,1,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous right",NA,7.80000019073486
"RF.b_77","A2","A2","56",NA,"Scaglia.Variegata",NA,FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Mesial","Mesial",21.6000003814697,16.1000003814697,5.80000019073486,1.34161489873815,2.77586204345104,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Curved slightly","0","Trapezoidal",TRUE,3,NA,"Unidirectional convergent",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous bilateral",NA,NA
"RF.b_81","A2","A2","57",NA,"Maiolica","B2-4",FALSE,"Tool","Blade","Maintenance","Second-crest","0%","no",NA,"Complete","Complete",75.3000030517578,24.2999992370605,7.59999990463257,3.09876565497648,3.19736836078754,3.90000009536743,1.79999995231628,2.16666677704565,"Plain","Oval","75","Abrasion;Pointed scars",FALSE,NA,FALSE,TRUE,"Moderate","Straight","1L","Polyhedral",FALSE,3,"Axial","Unidirectional parallel","Irregular","Feathered","Irregular",FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Proximal",NA,3.20000004768372
"RF.b_82","A2","A2","69",NA,"Maiolica","B1",FALSE,"Tool","Blade","Maintenance","Maintenance","0%","no",NA,"Complete","Complete",59.5999984741211,24.6000003814697,5.90000009536743,2.42276412804512,4.16949152268407,4.40000009536743,0.800000011920929,5.5000000372529,"Linear","Linear","80","Abrasion;Hinged scars",TRUE,"Moderate",TRUE,TRUE,"Moderate","Curved","0","Polyhedral",TRUE,5,"Off-axis left","Unidirectional parallel","Straight","Plunging","Sub-parallel",TRUE,FALSE,"Blade with lateral retouch","Other","Direct","Distal left;Proximal right",NA,NA
"RF.b_83","A1","A1","75",NA,"Maiolica",NA,FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Mesial","Mesial",35.7000007629395,16.1000003814697,5.19999980926514,2.21739129919701,3.09615403307966,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Curved slightly","0","Trapezoidal",TRUE,2,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous left",NA,NA
"RF.b_85","A2","A2","53",NA,"Other","Eoc1",FALSE,"Blank","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Mesio-proximal",38.2999992370605,13.3000001907349,3,2.87969914945875,4.43333339691163,3.20000004768372,0.400000005960464,8.00000000000002,"Linear","Linear","75","Abrasion",FALSE,NA,FALSE,TRUE,"Pronounced","Straight","0","Polyhedral",TRUE,3,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,NA,NA,"Direct","Continuous right",NA,NA
"RF.b_86","A1","A1","69",NA,"Maiolica",NA,FALSE,"Tool","Bladelet","Optimal","Optimal","0%","no",NA,"Mesial","Mesial",22.1000003814697,10.3999996185303,1.70000004768372,2.12500011462431,6.11764666283421,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","0","Trapezoidal",TRUE,2,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Bladelet retouched","Bladelet retouched","Direct","Mesial left",NA,1.79999995231628
"RF.b_87","A1","A1","67",NA,"Maiolica","B1",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Mesio-proximal",18.6000003814697,12.6000003814697,2.5,1.47619046177363,5.04000015258788,6.30000019073486,1.29999995231628,4.84615417062886,"Plain","Irregular","75","Abrasion;Hinged scars",TRUE,"Moderate",FALSE,TRUE,"Moderate","Curved slightly","0","Polyhedral",TRUE,3,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Proximal right",NA,1.29999995231628
"RF.b_89","A1","A1","69",NA,"Scaglia.Variegata",NA,FALSE,"Tool","Blade","Semi-cortical","Semi-cortical","1-33%","yes","Left lateral complete","Mesial","Mesial",18.2000007629395,17,4.30000019073486,1.07058828017291,3.95348819672837,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","0","Polyhedral",TRUE,3,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous right",NA,2
"RF.b_90","A2","A2tetto","68",NA,"Scaglia.Variegata",NA,FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Mesial","Mesial",24.2999992370605,19.5,3.70000004768372,1.24615380702874,5.27027020234971,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Curved slightly","0","Trapezoidal",TRUE,2,"Axial","Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous left",NA,0.899999976158142
"RF.b_91","A2","A2","87",NA,"Scaglia.Variegata","SV",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Mesio-proximal",23.7000007629395,16.2999992370605,3.20000004768372,1.45398784492296,5.09374968567862,3.20000004768372,0.300000011920929,10.6666664017572,"Linear","Linear","75","Abrasion",TRUE,"Moderate",FALSE,TRUE,"Moderate","Curved slightly","0","Trapezoidal",TRUE,2,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous left",NA,2.79999995231628
"RF.b_93","A1","A1","57",NA,"Scaglia.Variegata","SV3",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Mesio-proximal",18.1000003814697,13.1000003814697,3.5,1.38167937819854,3.74285725184849,2.90000009536743,1.29999995231628,2.23076938595293,"Plain","Oval","60","Abrasion",FALSE,NA,FALSE,TRUE,"Pronounced","Straight","0","Triangular",TRUE,1,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous right",NA,NA
"RF.b_94","A2","A2","41",NA,"Maiolica","B2-4",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Mesio-proximal",21.5,14.1000003814697,3.20000004768372,1.52482265378201,4.40625005355103,4.69999980926514,1.10000002384186,4.27272700672307,"Linear","Linear","75","Abrasion;Pointed scars",TRUE,"Pronounced",FALSE,TRUE,"Moderate","Straight","0","Trapezoidal",TRUE,2,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous right",NA,4.40000009536743
"RF.b_96","A2","A2","56",NA,"Maiolica",NA,FALSE,"Tool","Blade","Maintenance","Neo-crest","0%","no",NA,"Distal","Mesio-distal",28.2999992370605,18.8999996185303,2.79999995231628,1.49735448720931,6.74999997871265,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","0","Trapezoidal",TRUE,1,"Axial","Bidirectional","Convex","Feathered",NA,TRUE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous left",NA,NA
"RF.b_97","A2","A2","76",NA,"Scaglia.Variegata",NA,FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Distal","Mesio-distal",55.7999992370605,17.7999992370605,7.80000019073486,3.13483155217682,2.2820511284351,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","0","Trapezoidal",TRUE,2,"Axial","Unidirectional parallel","Convex","Step",NA,FALSE,FALSE,"Composite tool","Other","Direct","Apex;Continuous bilateral",NA,8.10000038146973
"RF.b_98","A1","A1","58",NA,"Maiolica","B2-4",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Mesio-proximal",18.2999992370605,12.8000001907349,2.59999990463257,1.42968741909134,4.92307717701389,0.2,0.2,1,"Punctiform","Punctiform","80","No",TRUE,"Moderate",FALSE,FALSE,NA,"Straight","0","Lateral steep",FALSE,1,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous bilateral",NA,NA
"RF.b_99","A1","A1","67",NA,"Maiolica","B2-4",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Proximal","Mesio-proximal",24.3999996185303,12.6999998092651,4.59999990463257,1.92125984133713,2.76086958099177,1.39999997615814,1.10000002384186,1.27272722346723,"Linear","Oval","75","Abrasion;Pointed scars",FALSE,NA,TRUE,TRUE,"Pronounced","Curved slightly","0","Trapezoidal",FALSE,2,NA,"Unidirectional parallel",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous left;Proximal right",NA,1.20000004768372
"RF.b_100","A2","A2tetto","68",NA,"Scaglia.Variegata",NA,FALSE,"Tool","Blade","Initialization","Cortical","66-99%","yes","100%","Mesial","Mesial",39.7000007629395,19.2000007629395,5.90000009536743,2.06770829090642,3.25423736484597,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Straight","2L","Flat",FALSE,0,NA,"Other",NA,NA,NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous left",NA,4.90000009536743
"RF.b_104","A2","A2","76",NA,"Maiolica","B1",FALSE,"Tool","Blade","Optimal","Optimal","0%","no",NA,"Complete","Complete",60.7999992370605,20,4.80000019073486,3.03999996185302,4.16666650109822,8.80000019073486,3.29999995231628,2.66666676299741,"Plain","Oval","60","Abrasion;Hinged scars",FALSE,NA,TRUE,TRUE,"Pronounced","Curved slightly","0","Triangular",TRUE,2,"Axial","Bidirectional","Convex","Feathered","Sub-parallel",FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous left;Mesial right;Proximal right",NA,1.5
"RF.b_105","A2","A2","70",NA,"Maiolica",NA,FALSE,"Tool","Blade","Initialization","Cortical","66-99%","yes","Distal;Middle/centre","Distal","Mesio-distal",28,12.3999996185303,4.09999990463257,2.25806458559542,3.02439022120942,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,"Curved slightly","0","Lateral steep",FALSE,1,"Axial","Unidirectional parallel","Straight","Feathered",NA,FALSE,FALSE,"Blade with lateral retouch","Other","Direct","Continuous left",NA,4.90000009536743
