ID,Site,Layer,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
RB_589,Bombrini,A2,Chert,Core,Other,Semi-cortical,Shatter laminar,1-33%,Other,3386.852295,1406.449337,26.60000038,17.79999924,17.39999962,RB_589.ply,1 unit = 1mm,369086,0.10083,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_590,Bombrini,A2,Chert,Core,Other,Semi-cortical,Multidirectional,1-33%,Other,2034.804077,1003.957981,22.20000076,17.29999924,15.39999962,RB_590.ply,1 unit = 1mm,256952,0.101677,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_591,Bombrini,A2,Chert,Core,Other,Other,Semi-circumferential,0%,Other,5431.98584,1807.130769,19.79999924,24.70000076,25.29999924,RB_591.ply,1 unit = 1mm,480446,0.100274,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_592,Bombrini,A2,Chert,Core,Other,Other,Multi-platform,0%,Other,4968.677246,1685.260376,20.20000076,19,25.5,RB_592.ply,1 unit = 1mm,436260,0.101294,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_593,Bombrini,A2,Chert,Core,Other,Semi-cortical,Semi-circumferential,33-66%,Other,2793.793701,1348.859705,36.40000153,12.19999981,10,RB_593.ply,1 unit = 1mm,348558,0.101343,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_594,Bombrini,A2,Chert,Core,Flake,Semi-cortical,Multidirectional,33-66%,Other,15621.30371,4833.368085,52.59999847,33,18,RB_594.ply,1 unit = 1mm,600000,0.14394,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_595,Bombrini,A2,Chert,Core,Other,Semi-cortical,Shatter,1-33%,Other,8445.05957,2570.475957,31.20000076,27.39999962,18.29999924,RB_595.ply,1 unit = 1mm,600000,0.105941,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_596,Bombrini,A2,Chert,Core,Other,Other,Multidirectional,0%,Other,3313.286865,1372.930439,20.79999924,19.20000076,15,RB_596.ply,1 unit = 1mm,359580,0.100814,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_597,Bombrini,A2,Chert,Core,Other,Other,Multidirectional,0%,Other,3941.932861,1685.02946,30.79999924,21.10000038,13,RB_597.ply,1 unit = 1mm,450018,0.100111,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_598,Bombrini,A2,Chert,Core,Other,Semi-cortical,Multidirectional,33-66%,Other,3056.79541,1440.802123,35.90000153,16.60000038,11.5,RB_598.ply,1 unit = 1mm,382110,0.100349,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_599,Bombrini,A2,Chert,Core,Flake,Semi-cortical,Shatter,1-33%,Other,6804.045898,2486.629027,31,33.59999847,15.19999981,RB_599.ply,1 unit = 1mm,600000,0.10427,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_600,Bombrini,A0,Chert,Pebble,Other,Initialization,NA,100%,Other,5405.320801,1780.929335,34.29999924,19.89999962,17.39999962,RB_600.ply,1 unit = 1mm,446262,0.102508,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_617,Bombrini,A0,Chert,Tool,Blade,Optimal,NA,0%,Proximal,3764.456543,2196.869636,63.90000153,27.60000038,8.100000381,RB_617.ply,1 unit = 1mm,145962,0.200853,Low-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_618,Bombrini,A0,Chert,Tool,Blade,Initialization,NA,100%,Distal,2788.566895,2055.994659,NA,29.29999924,5.099999905,RB_618.ply,1 unit = 1mm,492714,0.104734,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_619,Bombrini,A0,Chert,Blank,Flake,Maintenance,NA,0%,Proximal,3947.761719,1727.452256,29,32.5,10.60000038,RB_619.ply,1 unit = 1mm,800000,0.072323,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_620,Bombrini,A0,Chert,Core-Tool,Flake,Optimal,Carinated,0%,Complete,2346.773438,1096.469377,13.60000038,20.5,22,RB_620.ply,1 unit = 1mm,292504,0.100315,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_621,Bombrini,A0,Chert,Core-Tool,Flake,Undetermined,Carinated,0%,Complete,3289.254639,1501.963767,36.70000076,18.10000038,13.10000038,RB_621.ply,1 unit = 1mm,800000,0.067921,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_1,Cala,AU12,Chert,Core-Tool,Flake,Undetermined,Carinated,0%,Complete,9704.902344,3268.629199,29.10000038,20.10000038,60.79999924,Ca_1.ply,1 unit = 1mm,300000,0.168896,Low-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_10,Cala,AU12,Chert,Core-Tool,Flake,Maintenance,Carinated,0%,Undetermined,2063.922363,1079.74858,17.29999924,20.70000076,27,Ca_10.ply,1 unit = 1mm,275394,0.101559,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_100,Cala,AU13,Chert,Core-Tool,Flake,Semi-cortical,Carinated,33-66%,Distal,2292.187012,1163.54773,12.19999981,13.89999962,31.89999962,Ca_100.ply,1 unit = 1mm,293418,0.101943,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_101,Cala,AU13,Jasper,Core-Tool,Other,Other,Carinated,33-66%,Other,17814.63867,4288.024057,22.29999924,28.89999962,49.40000153,Ca_101.ply,1 unit = 1mm,600000,0.135372,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_102,Cala,AU13,Jasper,Tool,Flake,Initialization,NA,66-99%,Undetermined,4115.401855,2174.722963,44,28.20000076,9.199999809,Ca_102.ply,1 unit = 1mm,526708,0.103657,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_1026,Cala,AU13,Jasper,Core,Other,Other,Shatter laminar,1-33%,Other,2212.939697,1078.85197,26.20000076,18.39999962,18.89999962,Ca_1026.ply,1 unit = 1mm,600000,0.067915,Ultra-detailed,Artec.Micro-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_1027,Cala,AU13,Jasper,Core-Tool,Other,Other,Initial,33-66%,Other,4608.725586,1815.889602,14.39999962,20.60000038,15.60000038,Ca_1027.ply,1 unit = 1mm,598832,0.089227,Ultra-detailed,Artec.Micro-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_103,Cala,AU13,Jasper,Core-Tool,Blade,Initialization,Carinated,66-99%,Complete,4441.541504,1749.160948,38,18,14.19999981,Ca_103.ply,1 unit = 1mm,300000,0.12155,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_104,Cala,AU13,Jasper,Tool,Flake,Initialization,NA,100%,Complete,3640.395508,1797.198846,34.70000076,30,7,Ca_104.ply,1 unit = 1mm,300000,0.123649,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_105,Cala,AU13,Jasper,Core-Tool,Flake,Optimal,Multi-platform,0%,Undetermined,3287.499268,1443.781191,13,26.89999962,29.89999962,Ca_105.ply,1 unit = 1mm,300000,0.111025,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_106,Cala,AU13,Chert,Core-Tool,Flake,Undetermined,Carinated,0%,Undetermined,5497.486328,2066.367001,36.29999924,24.39999962,16.70000076,Ca_106.ply,1 unit = 1mm,300000,0.132909,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_107,Cala,AU13,Jasper,Tool,Flake,Maintenance,NA,1-33%,Complete,3578.092041,1780.104523,40.09999847,23.20000076,11.30000019,Ca_107.ply,1 unit = 1mm,300000,0.122983,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_108,Cala,AU13,Chert,Core-Tool,Flake,Semi-cortical,Carinated,33-66%,Proximal,2394.745361,1173.970343,23,21.29999924,11.89999962,Ca_108.ply,1 unit = 1mm,290800,0.102543,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_109,Cala,AU13,Chert,Core-Tool,Flake,Maintenance,Carinated,0%,Complete,3093.022461,1362.903361,14.89999962,22,27.10000038,Ca_109.ply,1 unit = 1mm,352564,0.10127,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_11,Cala,AU12,Chert,Core-Tool,Flake,Optimal,Carinated,0%,Undetermined,3217.052734,1391.778788,16,26,25.10000038,Ca_11.ply,1 unit = 1mm,300000,0.10937,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_110,Cala,AU13,Chert,Core-Tool,Flake,Semi-cortical,Carinated,33-66%,Complete,8044.735352,2702.498396,22.89999962,31.39999962,36.20000076,Ca_110.ply,1 unit = 1mm,300000,0.15263,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_111,Cala,AU13,Chert,Core-Tool,Flake,Semi-cortical,Carinated,1-33%,Complete,3830.302979,1587.900343,18.29999924,16.79999924,33.29999924,Ca_111.ply,1 unit = 1mm,300000,0.116617,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_112,Cala,AU13,Chert,Tool,Blade,Optimal,NA,0%,Distal,1183.913696,985.9601933,23,19.79999924,5.599999905,Ca_112.ply,1 unit = 1mm,228766,0.105164,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_113,Cala,AU13,Chert,Core-Tool,Flake,Semi-cortical,Carinated,1-33%,Complete,5914.833008,2346.041424,14.80000019,31.29999924,36.29999924,Ca_113.ply,1 unit = 1mm,600000,0.101928,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_114,Cala,AU13,Chert,Core-Tool,Flake,Optimal,Carinated,0%,Complete,4891.769531,1816.321993,16.89999962,29.10000038,32,Ca_114.ply,1 unit = 1mm,464894,0.101312,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_115,Cala,AU13,Chert,Tool,Flake,Optimal,NA,0%,Complete,1179.199463,843.5366547,21.10000038,17.39999962,7.300000191,Ca_115.ply,1 unit = 1mm,203620,0.103806,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_116,Cala,AU13,Chert,Core-Tool,Flake,Optimal,Carinated,0%,Distal,1749.11084,957.3819413,13.5,17.39999962,10.5,Ca_116.ply,1 unit = 1mm,245488,0.10165,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_117,Cala,AU13,Chert,Core-Tool,Flake,Optimal,Carinated,0%,Complete,2817.947754,1355.013326,13.39999962,26.60000038,26.5,Ca_117.ply,1 unit = 1mm,300000,0.107904,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_118,Cala,AU13,Quartzite,Core-Tool,Flake,Initialization,Carinated,66-99%,Complete,6266.80127,2361.738662,16,25.39999962,43.70000076,Ca_118.ply,1 unit = 1mm,300000,0.14226,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_119,Cala,AU13,Chert,Core-Tool,Flake,Semi-cortical,Carinated,33-66%,Complete,3821.184326,1882.647295,38.29999924,32,11.30000019,Ca_119.ply,1 unit = 1mm,300000,0.126278,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_12,Cala,AU12,Jasper,Core-Tool,Flake,Maintenance,Carinated,1-33%,Complete,2895.134277,1439.156604,12.60000038,22.39999962,29.39999962,Ca_12.ply,1 unit = 1mm,300000,0.111312,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_120,Cala,AU12,Jasper,Core-Tool,Flake,Semi-cortical,Carinated,1-33%,Complete,10488.13574,3454.80714,19.20000076,35.59999847,44.20000076,Ca_120.ply,1 unit = 1mm,300000,0.172053,Low-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_121,Cala,AU12,Jasper,Tool,Flake,Semi-cortical,NA,1-33%,Complete,4831.38916,2026.915602,39.20000076,25.79999924,13.30000019,Ca_121.ply,1 unit = 1mm,300000,0.131223,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_122,Cala,AU12,Jasper,Core-Tool,Flake,Semi-cortical,Carinated,1-33%,Complete,3916.542236,1637.064058,26.20000076,31.70000076,14.39999962,Ca_122.ply,1 unit = 1mm,300000,0.117868,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_123,Cala,AU12,Jasper,Core-Tool,Flake,Initialization,Carinated,66-99%,Complete,3051.615723,1492.007677,32.20000076,23.10000038,8.899999619,Ca_123.ply,1 unit = 1mm,300000,0.113187,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_124,Cala,AU12,Chert,Core-Tool,Flake,Optimal,Carinated,0%,Complete,2352.356934,1087.392702,21.60000038,23.89999962,10.80000019,Ca_124.ply,1 unit = 1mm,266138,0.103509,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_125,Cala,AU12,Jasper,Tool,Flake,Optimal,NA,0%,Complete,2697.156738,1393.222433,32.59999847,21.70000076,9.399999619,Ca_125.ply,1 unit = 1mm,300000,0.109913,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_126,Cala,AU12,Chert,Tool,Blade,Optimal,NA,0%,Complete,2379.733154,1399.951345,39.59999847,18.89999962,7.599999905,Ca_126.ply,1 unit = 1mm,300000,0.109723,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_127,Cala,AU11,Chert,Core-Tool,Other,Other,Carinated,33-66%,Other,14838.98242,3733.816524,24.89999962,39.59999847,22.29999924,Ca_127.ply,1 unit = 1mm,300000,0.173298,Low-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_128,Cala,AU11,Jasper,Core-Tool,Other,Other,Carinated,0%,Other,6393.182129,2138.37727,19.5,26.39999962,19.89999962,Ca_128.ply,1 unit = 1mm,583146,0.099253,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_129,Cala,AU11,Unknown,Tool,Flake,Optimal,NA,0%,Undetermined,1716.905518,1019.048488,23.29999924,22.70000076,7.300000191,Ca_129.ply,1 unit = 1mm,261410,0.101522,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_1290,Cala,AU13,Jasper,Core,Other,Other,Tested,66-99%,Other,3625.981445,1476.519698,32.40000153,22.5,11.60000038,Ca_1290.ply,1 unit = 1mm,600000,0.080131,Ultra-detailed,Artec.Micro-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_13,Cala,AU12,Jasper,Tool,Flake,Maintenance,NA,0%,Complete,1525.496704,821.1826363,19.60000038,23.39999962,8,Ca_13.ply,1 unit = 1mm,211582,0.097638,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_130,Cala,AU11,Chert,Tool,Flake,Semi-cortical,NA,1-33%,Complete,4973.791992,1789.535262,13.69999981,28.29999924,26.10000038,Ca_130.ply,1 unit = 1mm,300000,0.123526,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_131,Cala,AU11,Jasper,Tool,Flake,Maintenance,NA,0%,Complete,2478.714111,1257.835597,28,22.79999924,8,Ca_131.ply,1 unit = 1mm,300000,0.104353,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_132,Cala,AU10,Chert,Tool,Blade,Semi-cortical,NA,33-66%,Distal,6586.142578,2981.852634,57.20000076,22.89999962,8.300000191,Ca_132.ply,1 unit = 1mm,300000,0.160592,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_133,Cala,AU10,Jasper,Core-Tool,Flake,Optimal,Multi-platform,0%,Complete,6323.845215,2203.716338,19.10000038,22.60000038,39.5,Ca_133.ply,1 unit = 1mm,300000,0.137465,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_134,Cala,AU10,Chert,Tool,Flake,Optimal,NA,0%,Distal,1844.430542,1041.2739,27.60000038,18.5,7.5,Ca_134.ply,1 unit = 1mm,267136,0.101859,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_1347,Cala,AU11,Jasper,Core,Other,Other,Tested,66-99%,Other,2505.626465,1018.757725,26.70000076,14.80000019,12.89999962,Ca_1347.ply,1 unit = 1mm,600000,0.066124,Ultra-detailed,Artec.Micro-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_135,Cala,AU10,Jasper,Tool,Flake,Optimal,NA,0%,Complete,1197.379395,975.5692417,27.89999962,17.60000038,4.400000095,Ca_135.ply,1 unit = 1mm,252894,0.101215,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_136,Cala,AU10,Jasper,Core-Tool,Other,Other,Carinated,0%,Other,2953.636475,1391.123345,19,20.60000038,28.79999924,Ca_136.ply,1 unit = 1mm,300000,0.105943,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_137,Cala,AU12,Chert,Core-Tool,Flake,Semi-cortical,Carinated,33-66%,Complete,4055.880615,1612.136286,28.39999962,27.79999924,11.69999981,Ca_137.ply,1 unit = 1mm,300000,0.117316,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_138,Cala,AU12,Jasper,Core-Tool,Flake,Semi-cortical,Carinated,1-33%,Complete,2772.689453,1428.007517,25.29999924,27.60000038,8.100000381,Ca_138.ply,1 unit = 1mm,300000,0.111099,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_139,Cala,AU12,Chert,Tool,Blade,Optimal,NA,0%,Complete,1496.044189,1032.781413,32.70000076,16.29999924,5.699999809,Ca_139.ply,1 unit = 1mm,270892,0.100629,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_14,Cala,AU12,Jasper,Tool,Flake,Maintenance,NA,0%,Complete,1344.233276,909.7140965,26.39999962,16.39999962,6.599999905,Ca_14.ply,1 unit = 1mm,233034,0.101772,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_140,Cala,AU12,Chert,Tool,Flake,Optimal,NA,0%,Distal,2452.010742,1426.764408,33.20000076,25.60000038,8.399999619,Ca_140.ply,1 unit = 1mm,300000,0.110392,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_141,Cala,AU12,Chert,Tool,Blade,Optimal,NA,0%,Distal,2099.468506,1315.040113,29.5,22.5,6.699999809,Ca_141.ply,1 unit = 1mm,300000,0.106905,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_142,Cala,AU12,Chert,Core-Tool,Flake,Optimal,Carinated,0%,Distal,4672.249023,1881.494037,32.29999924,26.39999962,11.10000038,Ca_142.ply,1 unit = 1mm,300000,0.126198,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_143,Cala,AU12,Chert,Tool,Flake,Semi-cortical,NA,33-66%,Complete,2968.588867,1457.340517,28.60000038,26.70000076,9.899999619,Ca_143.ply,1 unit = 1mm,300000,0.111524,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_144,Cala,AU12,Chert,Core-Tool,Flake,Optimal,Carinated,0%,Distal,2628.179199,1269.16057,17.70000076,29,11.80000019,Ca_144.ply,1 unit = 1mm,300000,0.10536,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_145,Cala,AU12,Chert,Tool,Flake,Initialization,NA,66-99%,Complete,2542.831299,1351.01708,27.5,24.29999924,8.699999809,Ca_145.ply,1 unit = 1mm,300000,0.104282,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_146,Cala,AU12,Chert,Tool,Flake,Optimal,NA,0%,Distal,3996.90625,1714.734314,24.79999924,29.70000076,11.80000019,Ca_146.ply,1 unit = 1mm,300000,0.120517,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_147,Cala,AU12,Chert,Core-Tool,Flake,Semi-cortical,Carinated,1-33%,Complete,1798.378418,997.857473,18.29999924,23.20000076,10.60000038,Ca_147.ply,1 unit = 1mm,250084,0.102513,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_148,Cala,AU12,Chert,Core-Tool,Other,Other,Carinated,33-66%,Other,4135.28418,1570.710658,16.60000038,20.70000076,16.20000076,Ca_148.ply,1 unit = 1mm,401074,0.101773,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_1487,Cala,AU11,Jasper,Core,Flake,Semi-cortical,Multidirectional,33-66%,Complete,4987.880859,1879.225511,27,35.90000153,17.70000076,Ca_1487.ply,1 unit = 1mm,600000,0.090376,Ultra-detailed,Artec.Micro-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_1488,Cala,AU11,Jasper,Core-Tool,Flake,Semi-cortical,Carinated,33-66%,Undetermined,2970.395508,1313.471891,16.60000038,21.79999924,24.29999924,Ca_1488.ply,1 unit = 1mm,600000,0.075133,Ultra-detailed,Artec.Micro-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_149,Cala,AU12,Jasper,Core-Tool,Flake,Semi-cortical,Carinated,1-33%,Complete,7020.519043,2390.001488,18.20000076,30.39999962,33.79999924,Ca_149.ply,1 unit = 1mm,300000,0.142633,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
